name,shape,color,size
0-50-0-0.png,0,0,0
0-50-0-1.png,0,1,0
0-50-0-2.png,0,2,0
0-50-0-3.png,0,3,0
0-50-0-4.png,0,4,0
0-50-0-5.png,0,5,0
0-50-0-6.png,0,6,0
0-50-1-0.png,1,0,0
0-50-1-1.png,1,1,0
0-50-1-2.png,1,2,0
0-50-1-3.png,1,3,0
0-50-1-4.png,1,4,0
0-50-1-5.png,1,5,0
0-50-1-6.png,1,6,0
0-50-2-0.png,2,0,0
0-50-2-1.png,2,1,0
0-50-2-2.png,2,2,0
0-50-2-3.png,2,3,0
0-50-2-4.png,2,4,0
0-50-2-5.png,2,5,0
0-50-2-6.png,2,6,0
0-50-3-0.png,3,0,0
0-50-3-1.png,3,1,0
0-50-3-2.png,3,2,0
0-50-3-3.png,3,3,0
0-50-3-4.png,3,4,0
0-50-3-5.png,3,5,0
0-50-3-6.png,3,6,0
0-50-4-0.png,4,0,0
0-50-4-1.png,4,1,0
0-50-4-2.png,4,2,0
0-50-4-3.png,4,3,0
0-50-4-4.png,4,4,0
0-50-4-5.png,4,5,0
0-50-4-6.png,4,6,0
0-50-5-0.png,5,0,0
0-50-5-1.png,5,1,0
0-50-5-2.png,5,2,0
0-50-5-3.png,5,3,0
0-50-5-4.png,5,4,0
0-50-5-5.png,5,5,0
0-50-5-6.png,5,6,0
0-100-0-0.png,0,0,1
0-100-0-1.png,0,1,1
0-100-0-2.png,0,2,1
0-100-0-3.png,0,3,1
0-100-0-4.png,0,4,1
0-100-0-5.png,0,5,1
0-100-0-6.png,0,6,1
0-100-1-0.png,1,0,1
0-100-1-1.png,1,1,1
0-100-1-2.png,1,2,1
0-100-1-3.png,1,3,1
0-100-1-4.png,1,4,1
0-100-1-5.png,1,5,1
0-100-1-6.png,1,6,1
0-100-2-0.png,2,0,1
0-100-2-1.png,2,1,1
0-100-2-2.png,2,2,1
0-100-2-3.png,2,3,1
0-100-2-4.png,2,4,1
0-100-2-5.png,2,5,1
0-100-2-6.png,2,6,1
0-100-3-0.png,3,0,1
0-100-3-1.png,3,1,1
0-100-3-2.png,3,2,1
0-100-3-3.png,3,3,1
0-100-3-4.png,3,4,1
0-100-3-5.png,3,5,1
0-100-3-6.png,3,6,1
0-100-4-0.png,4,0,1
0-100-4-1.png,4,1,1
0-100-4-2.png,4,2,1
0-100-4-3.png,4,3,1
0-100-4-4.png,4,4,1
0-100-4-5.png,4,5,1
0-100-4-6.png,4,6,1
0-100-5-0.png,5,0,1
0-100-5-1.png,5,1,1
0-100-5-2.png,5,2,1
0-100-5-3.png,5,3,1
0-100-5-4.png,5,4,1
0-100-5-5.png,5,5,1
0-100-5-6.png,5,6,1
0-150-0-0.png,0,0,2
0-150-0-1.png,0,1,2
0-150-0-2.png,0,2,2
0-150-0-3.png,0,3,2
0-150-0-4.png,0,4,2
0-150-0-5.png,0,5,2
0-150-0-6.png,0,6,2
0-150-1-0.png,1,0,2
0-150-1-1.png,1,1,2
0-150-1-2.png,1,2,2
0-150-1-3.png,1,3,2
0-150-1-4.png,1,4,2
0-150-1-5.png,1,5,2
0-150-1-6.png,1,6,2
0-150-2-0.png,2,0,2
0-150-2-1.png,2,1,2
0-150-2-2.png,2,2,2
0-150-2-3.png,2,3,2
0-150-2-4.png,2,4,2
0-150-2-5.png,2,5,2
0-150-2-6.png,2,6,2
0-150-3-0.png,3,0,2
0-150-3-1.png,3,1,2
0-150-3-2.png,3,2,2
0-150-3-3.png,3,3,2
0-150-3-4.png,3,4,2
0-150-3-5.png,3,5,2
0-150-3-6.png,3,6,2
0-150-4-0.png,4,0,2
0-150-4-1.png,4,1,2
0-150-4-2.png,4,2,2
0-150-4-3.png,4,3,2
0-150-4-4.png,4,4,2
0-150-4-5.png,4,5,2
0-150-4-6.png,4,6,2
0-150-5-0.png,5,0,2
0-150-5-1.png,5,1,2
0-150-5-2.png,5,2,2
0-150-5-3.png,5,3,2
0-150-5-4.png,5,4,2
0-150-5-5.png,5,5,2
0-150-5-6.png,5,6,2
0-200-0-0.png,0,0,3
0-200-0-1.png,0,1,3
0-200-0-2.png,0,2,3
0-200-0-3.png,0,3,3
0-200-0-4.png,0,4,3
0-200-0-5.png,0,5,3
0-200-0-6.png,0,6,3
0-200-1-0.png,1,0,3
0-200-1-1.png,1,1,3
0-200-1-2.png,1,2,3
0-200-1-3.png,1,3,3
0-200-1-4.png,1,4,3
0-200-1-5.png,1,5,3
0-200-1-6.png,1,6,3
0-200-2-0.png,2,0,3
0-200-2-1.png,2,1,3
0-200-2-2.png,2,2,3
0-200-2-3.png,2,3,3
0-200-2-4.png,2,4,3
0-200-2-5.png,2,5,3
0-200-2-6.png,2,6,3
0-200-3-0.png,3,0,3
0-200-3-1.png,3,1,3
0-200-3-2.png,3,2,3
0-200-3-3.png,3,3,3
0-200-3-4.png,3,4,3
0-200-3-5.png,3,5,3
0-200-3-6.png,3,6,3
0-200-4-0.png,4,0,3
0-200-4-1.png,4,1,3
0-200-4-2.png,4,2,3
0-200-4-3.png,4,3,3
0-200-4-4.png,4,4,3
0-200-4-5.png,4,5,3
0-200-4-6.png,4,6,3
0-200-5-0.png,5,0,3
0-200-5-1.png,5,1,3
0-200-5-2.png,5,2,3
0-200-5-3.png,5,3,3
0-200-5-4.png,5,4,3
0-200-5-5.png,5,5,3
0-200-5-6.png,5,6,3
0-250-0-0.png,0,0,4
0-250-0-1.png,0,1,4
0-250-0-2.png,0,2,4
0-250-0-3.png,0,3,4
0-250-0-4.png,0,4,4
0-250-0-5.png,0,5,4
0-250-0-6.png,0,6,4
0-250-1-0.png,1,0,4
0-250-1-1.png,1,1,4
0-250-1-2.png,1,2,4
0-250-1-3.png,1,3,4
0-250-1-4.png,1,4,4
0-250-1-5.png,1,5,4
0-250-1-6.png,1,6,4
0-250-2-0.png,2,0,4
0-250-2-1.png,2,1,4
0-250-2-2.png,2,2,4
0-250-2-3.png,2,3,4
0-250-2-4.png,2,4,4
0-250-2-5.png,2,5,4
0-250-2-6.png,2,6,4
0-250-3-0.png,3,0,4
0-250-3-1.png,3,1,4
0-250-3-2.png,3,2,4
0-250-3-3.png,3,3,4
0-250-3-4.png,3,4,4
0-250-3-5.png,3,5,4
0-250-3-6.png,3,6,4
0-250-4-0.png,4,0,4
0-250-4-1.png,4,1,4
0-250-4-2.png,4,2,4
0-250-4-3.png,4,3,4
0-250-4-4.png,4,4,4
0-250-4-5.png,4,5,4
0-250-4-6.png,4,6,4
0-250-5-0.png,5,0,4
0-250-5-1.png,5,1,4
0-250-5-2.png,5,2,4
0-250-5-3.png,5,3,4
0-250-5-4.png,5,4,4
0-250-5-5.png,5,5,4
0-250-5-6.png,5,6,4
0-300-0-0.png,0,0,5
0-300-0-1.png,0,1,5
0-300-0-2.png,0,2,5
0-300-0-3.png,0,3,5
0-300-0-4.png,0,4,5
0-300-0-5.png,0,5,5
0-300-0-6.png,0,6,5
0-300-1-0.png,1,0,5
0-300-1-1.png,1,1,5
0-300-1-2.png,1,2,5
0-300-1-3.png,1,3,5
0-300-1-4.png,1,4,5
0-300-1-5.png,1,5,5
0-300-1-6.png,1,6,5
0-300-2-0.png,2,0,5
0-300-2-1.png,2,1,5
0-300-2-2.png,2,2,5
0-300-2-3.png,2,3,5
0-300-2-4.png,2,4,5
0-300-2-5.png,2,5,5
0-300-2-6.png,2,6,5
